App,Category,Rating,Reviews,Size,Installs,Type,Price,"Content Rating",Genres,"Last Updated","Current Ver","Android Ver"
"Free VIN Report for Used Cars",AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0,Everyone,"Auto & Vehicles",2018-06-12,1.37,"4.0 "
"DMV Permit Practice Test 2018 Edition",AUTO_AND_VEHICLES,4.9,6090,27,100000,Free,0,Everyone,"Auto & Vehicles",2018-07-03,1.7,"4.2 "
"Check Vehicle Tax",AUTO_AND_VEHICLES,3.9,295,2.7,10000,Free,0,Everyone,"Auto & Vehicles",2018-07-30,0.2.1,"4.4 "
"Used Cars Mexico",AUTO_AND_VEHICLES,4,190,2.5,50000,Free,0,Everyone,"Auto & Vehicles",2016-10-14,1.0,"2.3 "
"Ulysse Speedometer",AUTO_AND_VEHICLES,4.3,40211,NULL,5000000,Free,0,Everyone,"Auto & Vehicles",2018-07-30,NULL,"Varies with device"
REPUVE,AUTO_AND_VEHICLES,3.9,356,NULL,100000,Free,0,Everyone,"Auto & Vehicles",2018-05-25,NULL,"Varies with device"
"Used cars for sale - Trovit",AUTO_AND_VEHICLES,4.2,52530,7,5000000,Free,0,Everyone,"Auto & Vehicles",2018-07-16,4.47.3,"4.0.3 "
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines",AUTO_AND_VEHICLES,4.8,116986,35,5000000,Free,0,Everyone,"Auto & Vehicles",2018-08-02,1.9.7,"4.0.3 "
"SK Enca Direct Malls - Used Cars Search",AUTO_AND_VEHICLES,3.6,1379,16,500000,Free,0,Everyone,"Auto & Vehicles",2018-08-02,2.2.21,"4.2 "
"Android Auto - Maps, Media, Messaging & Voice",AUTO_AND_VEHICLES,4.2,271920,16,10000000,Free,0,Teen,"Auto & Vehicles",2018-07-11,NULL,"5.0 "
PDD-UA,AUTO_AND_VEHICLES,4.8,736,NULL,100000,Free,0,Everyone,"Auto & Vehicles",2018-07-29,2.9,"2.3.3 "
"Tickets SDA 2019 + Exam RF",AUTO_AND_VEHICLES,4.8,7021,17,500000,Free,0,Everyone,"Auto & Vehicles",2018-07-27,1.79,"4.0 "
"Super Cars Wallpapers And Backgrounds",AUTO_AND_VEHICLES,4.6,197,3.4,50000,Free,0,Everyone,"Auto & Vehicles",2018-06-14,1.3,"4.0 "
"Police Lights, Sirens & Follow Me",AUTO_AND_VEHICLES,4.5,737,8.9,100000,Free,0,Everyone,"Auto & Vehicles",2018-06-08,2.3.5,"4.1 "
"Police Detector (Speed Camera Radar)",AUTO_AND_VEHICLES,4.3,3574,3.9,1000000,Free,0,"Everyone 10+","Auto & Vehicles",2018-07-04,1.6,"4.0 "
"Best Car Wallpapers",AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0,Everyone,"Auto & Vehicles",2018-03-27,1.6,"4.1 "
"Tickets + PDA 2018 Exam",AUTO_AND_VEHICLES,4.9,197136,38,1000000,Free,0,Everyone,"Auto & Vehicles",2018-07-15,8.31,"4.1 "
"Pick Your Part Garage",AUTO_AND_VEHICLES,3.9,142,32,50000,Free,0,Everyone,"Auto & Vehicles",2018-07-24,1.1.5,"6.0 "
"PakWheels: Buy & Sell Cars",AUTO_AND_VEHICLES,4.4,15168,37,1000000,Free,0,Everyone,"Auto & Vehicles",2018-07-27,10.0.2,"4.2 "
"Supervision service",AUTO_AND_VEHICLES,4,2155,15,500000,Free,0,Everyone,"Auto & Vehicles",2018-07-30,1.10.3,"5.0 "
"Speed Camera Detector - Traffic & Speed Alert",AUTO_AND_VEHICLES,4.3,138,5.4,100000,Free,0,Everyone,"Auto & Vehicles",2018-07-23,1.0,"4.0.3 "
"Used car search Goo net whole car Go to net",AUTO_AND_VEHICLES,3.7,5414,18,1000000,Free,0,Everyone,"Auto & Vehicles",2018-07-23,3.20.1,"4.4 "
"CarMax â€“ Cars for Sale: Search Used Car Inventory",AUTO_AND_VEHICLES,4.4,21777,NULL,1000000,Free,0,Everyone,"Auto & Vehicles",2018-08-04,NULL,"Varies with device"
"BEST CAR SOUNDS",AUTO_AND_VEHICLES,4.3,348,38,100000,Free,0,Everyone,"Auto & Vehicles",2018-07-29,1.0.3,"2.3 "
"RST - Sale of cars on the PCT",AUTO_AND_VEHICLES,3.2,250,1.1,100000,Free,0,Everyone,"Auto & Vehicles",2018-04-27,1.4,"4.0.3 "
"AutoScout24 Switzerland â€“ Find your new car",AUTO_AND_VEHICLES,4.6,13372,NULL,1000000,Free,0,Everyone,"Auto & Vehicles",2018-08-03,NULL,"Varies with device"
"Zona Azul Digital FÃ¡cil SP CET - OFFICIAL SÃ£o Paulo",AUTO_AND_VEHICLES,4.6,7880,NULL,100000,Free,0,Everyone,"Auto & Vehicles",2018-05-10,4.6.5,"Varies with device"
"SMS Park",AUTO_AND_VEHICLES,4.5,3617,7.9,100000,Free,0,Everyone,"Auto & Vehicles",2018-05-16,2.8.2,"4.1 "
SKencar,AUTO_AND_VEHICLES,3.7,4806,35,1000000,Free,0,Everyone,"Auto & Vehicles",2018-07-31,4.0.3,"4.0.3 "
"Fuelio: Gas log & costs",AUTO_AND_VEHICLES,4.6,65786,NULL,1000000,Free,0,Everyone,"Auto & Vehicles",2018-08-02,NULL,"4.0.3 "
"auto fines",AUTO_AND_VEHICLES,4.6,31433,17,1000000,Free,0,Everyone,"Auto & Vehicles",2018-08-02,1.40,"4.0.3 "
"Used car is the first car - used car purchase, used car quotation, dealer information to",AUTO_AND_VEHICLES,4.6,5097,19,1000000,Free,0,Everyone,"Auto & Vehicles",2018-07-23,1.5.18,"4.0.3 "
"All of the parking lot - National Park application (parking lot search / parking sharing / discount payment)",AUTO_AND_VEHICLES,4,1754,14,500000,Free,0,Everyone,"Auto & Vehicles",2018-06-02,2.3.4,"4.0 "
"Inquiry Fines and Debits of Vehicles",AUTO_AND_VEHICLES,4.4,2680,2.2,500000,Free,0,Everyone,"Auto & Vehicles",2018-03-20,1.03,"4.0.3 "
"Gas Station",AUTO_AND_VEHICLES,4,1288,4.5,100000,Free,0,Everyone,"Auto & Vehicles",2018-04-21,2.17,"4.0 "
"Hush - Beauty for Everyone",BEAUTY,4.7,18900,17,500000,Free,0,Everyone,Beauty,2018-08-02,6.10.1,"5.0 "
"ipsy: Makeup, Beauty, and Tips",BEAUTY,4.9,49790,14,1000000,Free,0,Everyone,Beauty,2017-11-09,2.3.0,"4.1 "
"Natural recipes for your beauty",BEAUTY,4.7,1150,9.8,100000,Free,0,Everyone,Beauty,2018-05-15,4.0,"4.1 "
"BestCam Selfie-selfie, beauty camera, photo editor",BEAUTY,3.9,1739,21,500000,Free,0,Everyone,Beauty,2018-07-12,1.0.6,"4.0.3 "
"Mirror - Zoom & Exposure -",BEAUTY,3.9,32090,NULL,1000000,Free,0,Everyone,Beauty,2016-10-24,NULL,"Varies with device"
"Beauty Selfie Camera",BEAUTY,4.2,2225,52,500000,Free,0,Everyone,Beauty,2018-02-28,1.6,"4.1 "
"Hairstyles step by step",BEAUTY,4.6,4369,14,100000,Free,0,Everyone,Beauty,2018-07-25,1.9,"4.0.3 "
"Filters for Selfie",BEAUTY,4.3,8572,25,1000000,Free,0,Everyone,Beauty,2018-05-10,1.1.0,"4.0 "
"Tie - Always be happy",BEAUTY,4.7,964,9,50000,Free,0,Everyone,Beauty,2018-06-21,4.0,"4.2 "
"Ulta Beauty",BEAUTY,4.7,42050,NULL,1000000,Free,0,Everyone,Beauty,2018-06-05,5.4,"5.0 "
"Prom MakeUp Tutorial",BEAUTY,4.8,104,12,10000,Free,0,Everyone,Beauty,2018-06-26,1.3,"4.0.3 "
"Selfie Camera",BEAUTY,4.2,17934,NULL,1000000,Free,0,Everyone,Beauty,2017-09-12,NULL,"Varies with device"
"Sweet Selfie Beauty Camera",BEAUTY,4.3,601,35,100000,Free,0,Everyone,Beauty,2018-06-02,2.0.0,"4.0 "
"Colors of white in Urdu",BEAUTY,4.5,36,6.7,10000,Free,0,Everyone,Beauty,2018-07-26,6.0,"4.0 "
"Selfie Camera Photo Editor & Filter & Sticker",BEAUTY,4.1,187,30,50000,Free,0,Teen,Beauty,2018-07-24,3.0.1,"4.0.3 "
"Eyes Makeup Beauty Tips",BEAUTY,4.2,30,2.9,10000,Free,0,Everyone,Beauty,2018-04-09,3.3.9,"4.0.3 "
"Photo Editor 2018",BEAUTY,4.5,134,17,10000,Free,0,Everyone,Beauty,2018-03-01,1.20,"4.0.3 "
"Step By Step Eyes Makeup Tutorial",BEAUTY,4.4,74,2.9,10000,Free,0,Everyone,Beauty,2018-04-05,2.3.09,"4.0.3 "
"Beauty Camera - Selfie Camera",BEAUTY,4,113715,NULL,10000000,Free,0,Everyone,Beauty,2017-08-03,NULL,"Varies with device"
"Girls Hairstyles",BEAUTY,4.1,3595,NULL,500000,Free,0,Everyone,Beauty,2018-05-24,NULL,"4.0 "
"Mirror Camera (Mirror + Selfie Camera)",BEAUTY,4.1,9315,2.6,1000000,Free,0,Everyone,Beauty,2017-11-21,1.4.2,"4.0 "
"Beauty Tips - Beauty Tips in Sinhala",BEAUTY,4.4,75,4.2,50000,Free,0,Everyone,Beauty,2017-10-18,1.0.0,"4.0.3 "
"Haircut Tutorials/Haircut Videos",BEAUTY,4.6,38,7.1,10000,Free,0,Everyone,Beauty,2018-05-29,1.0,"4.0 "
"Sephora: Skin Care, Beauty Makeup & Fragrance Shop",BEAUTY,4.5,26834,57,1000000,Free,0,Everyone,Beauty,2018-07-24,18.5,"5.0 "
"Sticker Camera - Selfie Filters, Beauty Camera",BEAUTY,3.9,2277,22,500000,Free,0,Everyone,Beauty,2018-07-12,1.1.0,"4.0.3 "
"Filters for B Live",BEAUTY,4.4,2280,24,500000,Free,0,Everyone,Beauty,2018-05-14,1.1.0,"4.0 "
"Facial Wrinkle Reduction",BEAUTY,4.6,184,21,10000,Free,0,Everyone,Beauty,2018-07-02,1.5,"4.1 "
"Makeup Videos",BEAUTY,3.8,9,3.4,5000,Free,0,Everyone,Beauty,2018-06-07,1.0,"4.0 "
"Discover Color",BEAUTY,4,364,6.4,100000,Free,0,Everyone,Beauty,2018-05-24,1.1,"4.0.3 "
"Eyeliner step by step 2018",BEAUTY,4.3,18,3.2,5000,Free,0,Everyone,Beauty,2018-06-01,1.2.13,"4.0.3 "
"Dresses Ideas & Fashions +3000",BEAUTY,4.5,473,8.2,100000,Free,0,"Mature 17+",Beauty,2017-03-01,1.0.2,"1.6 "
"Step By Step Hairstyles For Women",BEAUTY,4.1,66,2.9,10000,Free,0,Everyone,Beauty,2018-04-05,3.1.89,"4.0.3 "
"Rainbow Camera",BEAUTY,3.7,3871,23,1000000,Free,0,Everyone,Beauty,2018-07-30,2.2.0,"4.0 "
"Methods of teeth whitening",BEAUTY,4.7,257,4.6,50000,Free,0,Everyone,Beauty,2017-08-07,1.0,"4.0.3 "
"Girls hairstyles 2018",BEAUTY,4.2,62,3.1,10000,Free,0,Everyone,Beauty,2018-05-28,1.9.2,"4.0.3 "
"Wattpad ðŸ“– Free Books",BOOKS_AND_REFERENCE,4.6,2914724,NULL,100000000,Free,0,Teen,"Books & Reference",2018-08-01,NULL,"Varies with device"
"E-Book Read - Read Book for free",BOOKS_AND_REFERENCE,4.5,1857,4.9,50000,Free,0,Everyone,"Books & Reference",2018-08-03,1.3.2,"4.4 "
"Download free book with green book",BOOKS_AND_REFERENCE,4.6,4478,9.5,100000,Free,0,"Everyone 10+","Books & Reference",2017-07-31,1.1,"4.0 "
Wikipedia,BOOKS_AND_REFERENCE,4.4,577550,NULL,10000000,Free,0,Everyone,"Books & Reference",2018-08-02,NULL,"Varies with device"
"Amazon Kindle",BOOKS_AND_REFERENCE,4.2,814080,NULL,100000000,Free,0,Teen,"Books & Reference",2018-07-27,NULL,"Varies with device"
"Cool Reader",BOOKS_AND_REFERENCE,4.5,246315,NULL,10000000,Free,0,Everyone,"Books & Reference",2015-07-17,NULL,"1.5 "
"Dictionary - Merriam-Webster",BOOKS_AND_REFERENCE,4.5,454060,NULL,10000000,Free,0,Everyone,"Books & Reference",2018-05-18,NULL,"Varies with device"
"NOOK: Read eBooks & Magazines",BOOKS_AND_REFERENCE,4.5,155446,NULL,10000000,Free,0,Teen,"Books & Reference",2018-04-25,NULL,"Varies with device"
"Free Panda Radio Music",BOOKS_AND_REFERENCE,4.5,418,4.2,100000,Free,0,Everyone,"Books & Reference",2018-03-27,2.1,"4.1 "
"Book store",BOOKS_AND_REFERENCE,4.4,22486,5.4,1000000,Free,0,Teen,"Books & Reference",2018-06-06,3.2.1,"4.0 "
"FBReader: Favorite Book Reader",BOOKS_AND_REFERENCE,4.5,203130,NULL,10000000,Free,0,Everyone,"Books & Reference",2018-06-28,NULL,"Varies with device"
"English Grammar Complete Handbook",BOOKS_AND_REFERENCE,4.6,1435,2.8,500000,Free,0,Everyone,"Books & Reference",2018-01-21,1.0,"4.0 "
"Free Books - Spirit Fanfiction and Stories",BOOKS_AND_REFERENCE,4.8,116507,5,1000000,Free,0,Teen,"Books & Reference",2018-08-01,2.0.075,"4.0.3 "
"Google Play Books",BOOKS_AND_REFERENCE,3.9,1433233,NULL,1000000000,Free,0,Teen,"Books & Reference",2018-08-03,NULL,"Varies with device"
"AlReader -any text book reader",BOOKS_AND_REFERENCE,4.6,90468,5.9,5000000,Free,0,Everyone,"Books & Reference",2018-05-27,1.911805270,"2.3 "
"Offline English Dictionary",BOOKS_AND_REFERENCE,4.2,860,13,100000,Free,0,Everyone,"Books & Reference",2018-07-17,1.0,"4.0.3 "
"Oxford Dictionary of English : Free",BOOKS_AND_REFERENCE,4.1,363934,7.1,10000000,Free,0,Everyone,"Books & Reference",2018-07-11,9.1.363,"4.1 "
"Offline: English to Tagalog Dictionary",BOOKS_AND_REFERENCE,4.7,967,6.7,500000,Free,0,Everyone,"Books & Reference",2018-08-04,1.1.6,"4.0.3 "
"Spanish English Translator",BOOKS_AND_REFERENCE,4.2,87873,NULL,10000000,Free,0,Teen,"Books & Reference",2018-05-28,NULL,"Varies with device"
"FamilySearch Tree",BOOKS_AND_REFERENCE,4.3,17506,17,1000000,Free,0,Everyone,"Books & Reference",2018-07-20,2.3.18,"4.1 "
"Cloud of Books",BOOKS_AND_REFERENCE,3.3,1862,19,1000000,Free,0,Everyone,"Books & Reference",2018-04-27,2.2.5,"4.1 "
"Recipes of Prophetic Medicine for free",BOOKS_AND_REFERENCE,4.6,2084,6.7,500000,Free,0,Everyone,"Books & Reference",2018-05-17,15.0,"2.3 "
"ReadEra â€“ free ebook reader",BOOKS_AND_REFERENCE,4.8,47303,21,1000000,Free,0,Everyone,"Books & Reference",2018-06-02,18.05.31+530,"4.1 "
"NOOK App for NOOK Devices",BOOKS_AND_REFERENCE,4.7,19080,NULL,500000,Free,0,Everyone,"Books & Reference",2018-04-25,NULL,"Varies with device"
"Ebook Reader",BOOKS_AND_REFERENCE,4.1,85842,37,5000000,Free,0,Everyone,"Books & Reference",2018-06-25,5.0.6,"4.0 "
"Litnet - E-books",BOOKS_AND_REFERENCE,4.6,7831,15,100000,Free,0,Teen,"Books & Reference",2018-07-04,1.2.3,"4.0 "
"Read books online",BOOKS_AND_REFERENCE,4.1,91615,23,5000000,Free,0,"Mature 17+","Books & Reference",2018-06-29,3.12,"4.1 "
"English to Urdu Dictionary",BOOKS_AND_REFERENCE,4.6,4620,19,500000,Free,0,Everyone,"Books & Reference",2017-11-23,2.0,"4.0.3 "
"eBoox: book reader fb2 epub zip",BOOKS_AND_REFERENCE,4.7,21336,23,1000000,Free,0,Everyone,"Books & Reference",2018-06-20,1.28,"3.0 "
"English Persian Dictionary",BOOKS_AND_REFERENCE,4.5,26875,73,500000,Free,0,Everyone,"Books & Reference",2018-08-01,6.0.8,"4.0.3 "
Flybook,BOOKS_AND_REFERENCE,3.9,1778,4.9,500000,Free,0,"Mature 17+","Books & Reference",2014-10-16,1.0.3,"2.1 "
"All Maths Formulas",BOOKS_AND_REFERENCE,4.4,2709,6.8,1000000,Free,0,Everyone,"Books & Reference",2018-07-11,1.9,"4.4 "
Ancestry,BOOKS_AND_REFERENCE,4.3,64513,NULL,5000000,Free,0,Everyone,"Books & Reference",2018-07-31,NULL,"Varies with device"
"HTC Help",BOOKS_AND_REFERENCE,4.2,8342,NULL,10000000,Free,0,Everyone,"Books & Reference",2017-08-28,9.00.950462,"7.0 "
"English translation from Bengali",BOOKS_AND_REFERENCE,4.5,527,2.9,100000,Free,0,Everyone,"Books & Reference",2018-03-31,14.0,"4.0 "
"Pdf Book Download - Read Pdf Book",BOOKS_AND_REFERENCE,4.4,1322,3.5,100000,Free,0,Everyone,"Books & Reference",2018-05-28,6.0,"4.0.3 "
"Free Book Reader",BOOKS_AND_REFERENCE,3.4,1680,4,100000,Free,0,Everyone,"Books & Reference",2016-08-20,3.05,"4.0.3 "
"eBoox new: Reader for fb2 epub zip books",BOOKS_AND_REFERENCE,4.9,2739,21,50000,Free,0,Everyone,"Books & Reference",2018-07-17,2.0,"3.0 "
"Only 30 days in English, the guideline is guaranteed",BOOKS_AND_REFERENCE,4.6,1065,2.3,500000,Free,0,Everyone,"Books & Reference",2018-06-16,1.5,"3.0 "
"Moon+ Reader",BOOKS_AND_REFERENCE,4.4,233757,NULL,10000000,Free,0,Everyone,"Books & Reference",2018-05-01,NULL,"Varies with device"
"English-Myanmar Dictionary",BOOKS_AND_REFERENCE,4.4,8788,10,1000000,Free,0,Everyone,"Books & Reference",2018-07-28,2.5.3,"4.0 "
"Golden Dictionary (EN-AR)",BOOKS_AND_REFERENCE,4.4,51269,6.1,1000000,Free,0,Everyone,"Books & Reference",2018-07-19,7.0.4,"4.2 "
"All Language Translator Free",BOOKS_AND_REFERENCE,4.4,30105,2.1,1000000,Free,0,Everyone,"Books & Reference",2018-07-29,1.15,"4.0.3 "
"Azpen eReader",BOOKS_AND_REFERENCE,3.5,156,42,500000,Free,0,Everyone,"Books & Reference",2018-02-15,3.1.7,"2.2 "
